L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.514154,0.661192,0.664398,0.620533,0.598936,0.825215,0.826491,0.783223,0.564832,0.539207,0.586872,0.643226,0.404499,0.436185,0.387416,0.331684,0.26071,0.096755,0.103423,0.105461,0.077697,0.051858,0.060837,0.043164
0.520101,0.670069,0.673178,0.629288,0.595803,0.822089,0.823321,0.780065,0.564853,0.539243,0.586906,0.643273,0.404524,0.436186,0.387424,0.331674,0.256724,0.095505,0.102277,0.10355,0.07773,0.051822,0.060796,0.043157
0.526191,0.679099,0.682096,0.638167,0.592672,0.818964,0.820154,0.776911,0.564835,0.539355,0.587013,0.643375,0.404549,0.436186,0.387432,0.331666,0.252582,0.094193,0.101085,0.101598,0.077762,0.051787,0.060755,0.043151
0.532426,0.688279,0.691152,0.647169,0.58954,0.815839,0.816989,0.773761,0.564784,0.539539,0.58719,0.643532,0.404574,0.436183,0.38744,0.331658,0.248295,0.092827,0.099854,0.099609,0.077793,0.051753,0.060715,0.043145
0.538806,0.697605,0.700341,0.656294,0.586409,0.812714,0.813827,0.770615,0.564704,0.539793,0.587434,0.643742,0.404599,0.436179,0.387448,0.33165,0.243875,0.091416,0.098588,0.097585,0.077823,0.051718,0.060676,0.04314
0.545334,0.707075,0.709661,0.66554,0.583278,0.809589,0.810668,0.767473,0.564605,0.540112,0.587741,0.644002,0.404625,0.436173,0.387456,0.331645,0.239337,0.089966,0.097291,0.095529,0.077851,0.051683,0.060638,0.043135
0.552014,0.716684,0.719108,0.674905,0.580148,0.806463,0.807513,0.764335,0.564494,0.540492,0.588107,0.64431,0.404651,0.436165,0.387463,0.33164,0.234691,0.088485,0.095968,0.093443,0.077877,0.051647,0.060602,0.04313
0.55885,0.726427,0.728679,0.684388,0.577019,0.803337,0.804363,0.7612,0.56438,0.54093,0.588527,0.644665,0.404679,0.436157,0.38747,0.331638,0.22995,0.086979,0.094622,0.091332,0.077903,0.051609,0.060566,0.043125
0.565844,0.7363,0.738368,0.69399,0.573892,0.80021,0.801217,0.758067,0.564272,0.541423,0.589,0.645063,0.404709,0.436147,0.387476,0.331636,0.225125,0.085457,0.09326,0.089198,0.077927,0.051569,0.060531,0.04312
0.572998,0.746297,0.748173,0.703709,0.570765,0.797084,0.798077,0.754935,0.564175,0.541966,0.589522,0.645503,0.404742,0.436136,0.387482,0.331637,0.220225,0.083927,0.091886,0.087046,0.07795,0.051529,0.060497,0.043115
